Component,Designator,Quantity,Link
Microcontroller,ESP32,1,https://electroslab.com/products/esp32?_pos=1&_sid=03f648e2b&_ss=r
Camera Module,OV2640,1,https://electroslab.com/products/esp32-cam?_pos=1&_sid=856a23195&_ss=r
Main Screen Display,Waveshare 3.2inch Touch LCD Screen,1,https://electroslab.com/products/waveshare-3-2inch-tft-lcd-screen
Bottom Screen Display,LCD 1602 IIC/I2C Blue Backlight,1,https://electroslab.com/products/lcd1602-iic-i2c-blue-backlight
Stepper Motor,17HS8401S-D150S Nema 17 Stepper Motor,1,https://electroslab.com/products/17hs8401s-d150s-nema-17-stepper-motor-1-8a-52n-cm?_pos=1&_sid=a7ba3be5b&_ss=r
Stepper Motor Driver,A4988 Stepper Motor Driver,1,https://electroslab.com/products/a4988-stepper-motor-driver?_pos=3&_sid=df0f3eddf&_ss=r
Servo Motor,High Torque Servo Motor DS-S020A-C,2,https://electroslab.com/products/high-torque-servo-motor-ds-s020a-c?_pos=8&_sid=93834f66d&_ss=r
Audio Power Amplifier Module,LM386 Audio Power Amplifier Module,1,https://electroslab.com/products/lm386-audio-power-amplifier-module?_pos=2&_sid=411d3b9ac&_ss=r
Speaker,Speaker Module,1,https://electroslab.com/products/speaker-8-ohm-0-5-watt
Breadboard Power Supply Module,MB102 Breadboard Power Supply Module 3.3V 5V,1,https://electroslab.com/products/mb102-breadboard-power-supply-module-3-3v-5v?_pos=1&_sid=f577cafb8&_ss=r
Battery,Li-ion Rechargeable Battery 18650 - 3.7v 2000 mAh,2,https://electroslab.com/products/li-ion-rechargeable-solder-battery-18650-3-7v-2800-mah
Battery Holder,2 X Lithium Battery Holder Box (LIR-18650 3.7V),1,https://electroslab.com/products/2-x-aa-lithium-battery-charger
